Date,Open,High,Low,Close,Adj Close,Volume,RSI,Upper Bollinger band,Lower Bollinger band,%K (5 days stochastic oscillator),"%D Average(H,3)",EMA 12,EMA 26,Volume Weighted Average Price,William % R,Commodity Channel Index,Rate of Change (10 days),Aroon Up,Aroon Down,MACD,BUY/SELL
2010/04/22,520.317932,541.814148,520.095032,532.824341,482.924622,11813633,55.57093224,570.1663771,518.1000849,58.91128657,10.9631144,536.8016276,534.6349513,523.0203495,-72.82128311,-80.89577898,-0.04775610421,68,0,2.166676275,1
2010/04/23,534.929382,542.854309,534.929382,538.990906,488.513794,10723025,49.62964762,569.4559313,518.5381134,83.69898151,26.7704143,537.1384396,534.9576146,523.2437359,-60.56127596,-31.61365725,-0.0165831097,64,88,2.180825031,1
2010/04/26,534.929382,543.74585,526.756897,530.595459,480.904541,7684965,54.85756013,568.3402908,515.7868368,46.52555988,49.82303245,536.1318272,534.634492,523.3479347,-77.25261713,-64.4260204,-0.04752379927,60,84,1.497335264,-1
2010/04/27,526.509216,528.985718,522.546753,525.642456,476.415466,6447243,66.51561334,566.2727467,513.4709319,26.38478518,63.04527599,534.5180778,533.9684152,523.3676437,-86.47386352,-106.6062625,-0.05863301344,56,80,0.5496625826,0
2010/04/28,522.026733,522.026733,501.248657,503.84903,456.663025,18510893,72.87844934,566.7575004,505.0294565,6.118928843,52.20310886,529.7997628,531.7373496,523.0345294,-96.05259766,-179.1740782,-0.09247030829,52,96,-1.937586892,-1
2010/04/29,507.192322,515.067688,504.7901,512.665466,464.653748,10820807,72.11493296,564.1475446,502.5802256,26.86485434,26.3430913,527.1637171,530.3246175,522.8710141,-82.66912534,-145.4500152,-0.05102227289,48,96,-3.160900425,1
2010/04/30,515.117188,518.683411,510.164154,511.947266,464.002808,7301398,66.49334594,561.8882012,498.3935328,25.17486037,19.78952279,524.8227246,528.9633322,522.7878618,-82.42470149,-115.482779,-0.04671424564,44,92,-4.140607604,-1
2010/05/03,508.182922,511.451935,504.27002,507.068512,459.580902,5785013,73.71387699,557.4579102,495.4933141,20.98223384,19.38621452,522.0913073,527.3414937,522.6806907,-90.43934694,-125.9818459,-0.03583535203,40,96,-5.250186395,0
2010/05/04,507.291382,514.621887,501.991608,505.780701,458.413757,8006460,74.17010371,551.4618619,494.4312657,21.81166341,24.34064952,519.5819833,525.7443979,522.5335593,-89.33566271,-116.4081895,-0.03955041337,36,96,-6.162414686,0
2010/05/05,500.258057,506.969421,496.939514,505.533051,458.18927,6911684,69.82735276,545.5656856,495.3708512,39.52160461,22.65625254,517.4206091,524.2472611,522.3730748,-81.64022708,-123.7118998,-0.03173325006,32,96,-6.826652068,1
2010/05/06,505.11203,506.845612,497.286224,499.193146,452.443115,11012977,70.87431268,543.168972,492.3616678,10.36443467,27.43850062,514.616384,522.3914007,522.0962345,-95.18519886,-122.9776874,-0.06311872865,28,96,-7.775016774,-1
2010/05/07,483.417694,525.023315,483.417694,511.550995,463.643585,33257378,66.80162479,540.4573621,493.0212977,67.61899071,23.89923423,514.1447857,521.5884077,521.5124745,-53.36621759,-90.64370073,-0.05090978474,24,96,-7.44362206,1
2010/05/10,520.565552,535.920044,515.117188,534.632202,487.869995,17560458,57.81672204,542.2378364,492.3870985,97.54707742,39.16834333,517.2966959,522.5546147,521.6504126,-15.10679027,10.76892817,0.007607948639,20,92,-5.257918838,1
2010/05/11,539.387146,539.387146,526.682556,528.886658,482.626862,12149208,47.06262168,542.9588066,492.6355061,81.23889439,58.5101676,519.079767,523.023655,521.7841049,-24.63060863,34.47689885,0.006171879693,16,88,-3.943887985,-1
2010/05/12,532.972961,539.610046,527.029297,536.390564,489.474426,7058317,47.06262168,544.7828237,491.3209494,94.27060465,82.13498751,521.7429665,524.0137964,521.8808853,-12.192128,59.77468951,0.06458588201,12,84,-2.270829853,1
2010/05/13,526.013916,541.566467,526.013916,530.86792,484.434814,5513861,50.83034057,543.9501419,490.9932047,81.60142261,91.01885882,523.1468055,524.5215092,521.946319,-18.39857739,59.78739815,0.03550552009,8,80,-1.374703717,1
2010/05/14,528.837158,530.47168,512.640686,516.925049,471.711548,8381619,55.83262336,540.7011827,492.2892481,14.81157242,85.70364055,522.1896122,523.9588085,521.9288875,-42.37650552,-9.638344451,0.009723233877,4,76,-1.769196269,-1
2010/05/17,512.492065,512.492065,499.762756,503.502289,459.46283,9512346,58.80962506,538.965012,490.8625379,8.945457019,63.56119989,519.3146394,522.4435107,521.7600151,-65.45998486,-87.85422216,-0.007033020027,0,72,-3.12887133,-1
2010/05/18,505.21109,511.872955,499.168396,505.508301,461.293335,7127953,50.16691821,538.9452864,491.1193022,14.95328644,35.11948402,517.1905873,521.1890508,521.6376871,-62.01019237,-77.89353034,-0.0005385733371,0,68,-3.998463412,0
2010/05/19,503.725189,504.09668,492.878021,494.636353,451.372284,12043982,53.94569172,539.1263876,488.3626134,3.611394786,12.90343862,513.7207051,519.2221843,521.3306749,-80.7069721,-110.8586565,-0.02155486764,0,96,-5.501479118,-1
2010/05/20,495.800293,501.743958,492.209351,495.280243,451.959869,8573412,58.07345253,539.5503653,485.5576325,8.025888858,9.17004608,510.883711,517.4487071,521.1097642,-79.59965724,-107.1256337,-0.007838454978,20,96,-6.564996163,0
2010/05/21,490.302429,495.230713,483.467224,493.100891,449.971191,8845755,56.64154834,540.2425027,482.8701206,33.19111033,8.86352336,508.1478925,515.6451652,520.83323,-83.34754716,-132.673017,-0.03606698879,16,96,-7.497272683,1
2010/05/24,504.22049,519.550171,503.452759,506.523651,462.21991,11411184,56.10395433,540.318065,482.900694,63.89840331,14.94279799,507.8980092,514.9694975,520.7062046,-60.26406782,-19.15636353,-0.05257549189,12,92,-7.071488274,0
2010/05/25,507.687622,507.687622,486.760986,488.197388,445.496552,11650994,56.40321289,541.2281157,479.5141201,13.10913989,35.0384675,504.8671444,512.9863782,520.3972564,-91.7802324,-109.7285702,-0.07693381821,8,88,-8.119233853,-1
2010/05/26,492.778961,500.258057,490.84726,499.292206,455.620941,6334809,54.26102966,541.6332378,479.1231493,43.85723261,36.73288451,504.0094616,511.9719951,520.248563,-72.76215458,-82.27268348,-0.06916295791,4,84,-7.962533554,1
2010/05/27,500.753357,509.024963,496.097504,506.325531,462.039124,12647449,49.96465219,540.8242298,479.1856625,63.34933508,40.28825861,504.3657799,511.5537385,520.044408,-60.65644607,-35.22931578,-0.04623068766,0,80,-7.187958578,1
2010/05/28,510.139374,514.621887,502.486938,513.457947,468.547699,8092532,51.93826731,539.3502518,477.6347469,81.42002005,40.10523586,505.7645749,511.694791,519.9666804,-48.38018285,5.242703816,-0.006707165781,0,76,-5.930216126,1
2010/05/31,510.238434,519.327271,509.545013,517.89093,472.592926,7637273,56.82064834,536.0641627,479.3500178,95.58948465,62.87552925,507.630168,512.1537643,519.9343284,-40.75016434,38.37828551,0.02857711139,44,72,-4.523596289,1
2010/06/01,516.751709,517.59375,497.335754,500.530457,456.750885,8983616,60.51036076,531.7030869,478.5882211,33.99997633,80.11961326,506.5379047,511.2927785,519.8069811,-63.69869061,-26.08533045,-0.009847205259,40,68,-4.754873792,-1
2010/06/02,502.734589,505.706421,496.964264,500.778137,456.976959,9104583,62.44666247,524.6081506,481.384617,20.14928949,70.33649368,505.6517866,510.5139162,519.6454822,-52.02466971,-48.92053493,0.0124167663,36,64,-4.86212957,0
